,html,is_article
51,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--story-padding--1gRL3tuf"" data-id=""WP-WSJ-0001445341""><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-4--2dw6NZJL typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/lifestyle/travel/best-travel-spots-2024-vacation-a6076aa3?mod=hp_lead_pos11""><span class=""WSJTheme--headlineText--He1ANr9C"">The 10 Best Places to Visit in 2024</span></a></h3><p class=""WSJTheme--summary--lmOXEsbN typography--sans-serif--1WZesAGA""><span class=""WSJTheme--summaryText--2LRaCWgJ"">A good vacation starts with a spark of inspiration. Here, 10 places around the world you should put on your to-go list this year. Consider it fuel for dreams of escape.</span><span class=""WSJTheme--stats--2HBLhVc9""><a aria-label=""Join the Conversation: 51 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/lifestyle/travel/best-travel-spots-2024-vacation-a6076aa3?mod=hp_lead_pos11#comments_sector""><span class="""">51</span></a><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--long-read--2ZKmFaSN"">Long read</span></span></span></p></article>",1
52,"<a class="""" href=""https://www.wsj.com/lifestyle/travel/best-travel-spots-2024-vacation-a6076aa3?mod=hp_lead_pos11""><span class=""WSJTheme--headlineText--He1ANr9C"">The 10 Best Places to Visit in 2024</span></a>",2
53,"<a aria-label=""Join the Conversation: 51 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/lifestyle/travel/best-travel-spots-2024-vacation-a6076aa3?mod=hp_lead_pos11#comments_sector""><span class="""">51</span></a>",0
54,"<a class=""WSJTheme--view-more--1tEXC9Z3 typography--sans-serif--1WZesAGA"" href=""https://www.wsj.com/podcasts?mod=hp"">View more podcasts</a>",0
55,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--media-margin-bottom-large--j8OmXFs6 WSJTheme--overflow-visible--3OB31tWq"" data-id=""WP-WSJ-0001471934""><a aria-label=""20 Years Searching for Workouts Taught Me These 10 Things"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/lifestyle/fitness/workout-routines-motivation-competition-5c7960ba?mod=hp_featst_pos3"" tabindex=""0""><img alt=""20 Years Searching for Workouts Taught Me These 10 Things"" class=""WSJTheme--image--At42misj"" height=""123"" src=""https://images.wsj.net/im-908811?width=184&amp;height=123"" srcset=""https://images.wsj.net/im-908811?width=184&amp;height=123, https://images.wsj.net/im-908811?width=184&amp;height=123&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-908811?width=184&amp;height=123&amp;pixel_ratio=2 2x, https://images.wsj.net/im-908811?width=184&amp;height=123&amp;pixel_ratio=3 3x"" title=""20 Years Searching for Workouts Taught Me These 10 Things"" width=""184""/></a> <span class="""" href="""">What’s Your Workout?</span><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-15--3sylkGaL typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/lifestyle/fitness/workout-routines-motivation-competition-5c7960ba?mod=hp_featst_pos3""><span class=""WSJTheme--headlineText--He1ANr9C""><span class="""">20 Years Searching for Workouts Taught Me These 10 Things</span><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">6 min read</span></span></span></a></h3></article>",1
56,"<a aria-label=""20 Years Searching for Workouts Taught Me These 10 Things"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/lifestyle/fitness/workout-routines-motivation-competition-5c7960ba?mod=hp_featst_pos3"" tabindex=""0""><img alt=""20 Years Searching for Workouts Taught Me These 10 Things"" class=""WSJTheme--image--At42misj"" height=""123"" src=""https://images.wsj.net/im-908811?width=184&amp;height=123"" srcset=""https://images.wsj.net/im-908811?width=184&amp;height=123, https://images.wsj.net/im-908811?width=184&amp;height=123&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-908811?width=184&amp;height=123&amp;pixel_ratio=2 2x, https://images.wsj.net/im-908811?width=184&amp;height=123&amp;pixel_ratio=3 3x"" title=""20 Years Searching for Workouts Taught Me These 10 Things"" width=""184""/></a>",0
57,"<a class="""" href=""https://www.wsj.com/lifestyle/fitness/workout-routines-motivation-competition-5c7960ba?mod=hp_featst_pos3""><span class=""WSJTheme--headlineText--He1ANr9C""><span class="""">20 Years Searching for Workouts Taught Me These 10 Things</span><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">6 min read</span></span></span></a>",2
58,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--media-margin-bottom-large--j8OmXFs6 WSJTheme--overflow-visible--3OB31tWq"" data-id=""SB12087632819815234565904590442081173236358""><a aria-label=""Counting Animals at the London Zoo and More: Photos of the Week"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/story/counting-animals-at-the-london-zoo-and-more-photos-of-the-week-7dabb016?mod=hp_featst_pos4"" tabindex=""0""><img alt=""Counting Animals at the London Zoo and More: Photos of the Week"" class=""WSJTheme--image--At42misj"" height=""123"" src=""https://images.wsj.net/im-908523?width=184&amp;height=123"" srcset=""https://images.wsj.net/im-908523?width=184&amp;height=123, https://images.wsj.net/im-908523?width=184&amp;height=123&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-908523?width=184&amp;height=123&amp;pixel_ratio=2 2x, https://images.wsj.net/im-908523?width=184&amp;height=123&amp;pixel_ratio=3 3x"" title=""Counting Animals at the London Zoo and More: Photos of the Week"" width=""184""/></a><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-15--3sylkGaL typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/story/counting-animals-at-the-london-zoo-and-more-photos-of-the-week-7dabb016?mod=hp_featst_pos4""><span class=""WSJTheme--headlineText--He1ANr9C"">Counting Animals at the London Zoo and More: Photos of the Week</span></a></h3></article>",1
59,"<a aria-label=""Counting Animals at the London Zoo and More: Photos of the Week"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/story/counting-animals-at-the-london-zoo-and-more-photos-of-the-week-7dabb016?mod=hp_featst_pos4"" tabindex=""0""><img alt=""Counting Animals at the London Zoo and More: Photos of the Week"" class=""WSJTheme--image--At42misj"" height=""123"" src=""https://images.wsj.net/im-908523?width=184&amp;height=123"" srcset=""https://images.wsj.net/im-908523?width=184&amp;height=123, https://images.wsj.net/im-908523?width=184&amp;height=123&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-908523?width=184&amp;height=123&amp;pixel_ratio=2 2x, https://images.wsj.net/im-908523?width=184&amp;height=123&amp;pixel_ratio=3 3x"" title=""Counting Animals at the London Zoo and More: Photos of the Week"" width=""184""/></a>",0
60,"<a class="""" href=""https://www.wsj.com/story/counting-animals-at-the-london-zoo-and-more-photos-of-the-week-7dabb016?mod=hp_featst_pos4""><span class=""WSJTheme--headlineText--He1ANr9C"">Counting Animals at the London Zoo and More: Photos of the Week</span></a>",2
61,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--media-margin-bottom-large--j8OmXFs6 WSJTheme--overflow-visible--3OB31tWq"" data-id=""WP-WSJ-0001469317""><a aria-label=""The Absolute Worst Outfits Ever Worn to a Job Interview"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/style/fashion/job-interview-outfit-what-not-to-wear-0205d70b?mod=hp_featst_pos5"" tabindex=""0""><img alt=""The Absolute Worst Outfits Ever Worn to a Job Interview"" class=""WSJTheme--image--At42misj"" height=""123"" src=""https://images.wsj.net/im-908340?width=184&amp;height=123"" srcset=""https://images.wsj.net/im-908340?width=184&amp;height=123, https://images.wsj.net/im-908340?width=184&amp;height=123&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-908340?width=184&amp;height=123&amp;pixel_ratio=2 2x, https://images.wsj.net/im-908340?width=184&amp;height=123&amp;pixel_ratio=3 3x"" title=""The Absolute Worst Outfits Ever Worn to a Job Interview"" width=""184""/></a> <span class="""" href="""">If These Résumés Could Talk</span><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-15--3sylkGaL typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/style/fashion/job-interview-outfit-what-not-to-wear-0205d70b?mod=hp_featst_pos5""><span class=""WSJTheme--headlineText--He1ANr9C""><span class="""">The Absolute Worst Outfits Ever Worn to a Job Interview</span><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">4 min read</span></span></span></a></h3></article>",1
62,"<a aria-label=""The Absolute Worst Outfits Ever Worn to a Job Interview"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/style/fashion/job-interview-outfit-what-not-to-wear-0205d70b?mod=hp_featst_pos5"" tabindex=""0""><img alt=""The Absolute Worst Outfits Ever Worn to a Job Interview"" class=""WSJTheme--image--At42misj"" height=""123"" src=""https://images.wsj.net/im-908340?width=184&amp;height=123"" srcset=""https://images.wsj.net/im-908340?width=184&amp;height=123, https://images.wsj.net/im-908340?width=184&amp;height=123&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-908340?width=184&amp;height=123&amp;pixel_ratio=2 2x, https://images.wsj.net/im-908340?width=184&amp;height=123&amp;pixel_ratio=3 3x"" title=""The Absolute Worst Outfits Ever Worn to a Job Interview"" width=""184""/></a>",0
63,"<a class="""" href=""https://www.wsj.com/style/fashion/job-interview-outfit-what-not-to-wear-0205d70b?mod=hp_featst_pos5""><span class=""WSJTheme--headlineText--He1ANr9C""><span class="""">The Absolute Worst Outfits Ever Worn to a Job Interview</span><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">4 min read</span></span></span></a>",2
64,"<a href=""https://www.wsj.com/sports/football/jim-harbaugh-michigan-college-football-playoff-88330d1e?mod=wsjhp_columnists_pos1""><img alt=""Ben Cohen"" class=""WSJTheme--stipple__image--1XI1f8-_"" src=""https://images.wsj.net/im-555630/ba""/></a>",0
65,"<a class=""WSJTheme--stipple__link--2vFfymvf"" href=""https://www.wsj.com/sports/football/jim-harbaugh-michigan-college-football-playoff-88330d1e?mod=wsjhp_columnists_pos1"">Is This Football Coach the Best Turnaround CEO in America?</a>",0
66,"<a href=""https://www.wsj.com/tech/personal-tech/tech-addiction-smartphone-dumbphone-light-phone-1be0652e?mod=wsjhp_columnists_pos2""><img alt=""Christopher Mims"" class=""WSJTheme--stipple__image--1XI1f8-_"" src=""https://si.wsj.net/public/resources/images/BN-CW279_mims_A_20140520065912.jpg""/></a>",0
67,"<a class=""WSJTheme--stipple__link--2vFfymvf"" href=""https://www.wsj.com/tech/personal-tech/tech-addiction-smartphone-dumbphone-light-phone-1be0652e?mod=wsjhp_columnists_pos2"">The Tech to Help You Beat Your Tech Addictions</a>",0
68,"<a href=""https://www.wsj.com/arts-culture/food-cooking/5-fantastic-pinot-noirs-you-dont-know-but-should-992c08eb?mod=wsjhp_columnists_pos3""><img alt=""Lettie Teague"" class=""WSJTheme--stipple__image--1XI1f8-_"" src=""https://s.wsj.net/public/resources/images/B3-BS873_TEAGUE_A_20180913112322.jpg""/></a>",0
69,"<a class=""WSJTheme--stipple__link--2vFfymvf"" href=""https://www.wsj.com/arts-culture/food-cooking/5-fantastic-pinot-noirs-you-dont-know-but-should-992c08eb?mod=wsjhp_columnists_pos3"">5 Fantastic Pinot Noirs You Don’t Know (but Should)</a>",0
70,"<a class=""style--strap--ND8Cuaip style--align-left--3iZ8c-pm style--link--1JBnCaZi"" href=""https://www.wsj.com/news/opinion?mod=hp_opin_strap""><h2 class=""style--label--13MlcFOP typography--sans-serif-narrow--tQEgavy2 style--size-small--1mrJTuBn style--icon-position-right--Sm9pTJ3p style--opinion--331Kkovj style--padding-top-12--3XU8PlhY style--padding-bottom-12--393Wqqzy""><span class="""">Opinion</span><span class=""style--icon--1WxxxS-r style--icon-link--3nS95BKp style--icon-position-right--Sm9pTJ3p""></span></h2></a>",0
71,"<a href=""https://www.wsj.com/articles/trump-summons-the-furies-in-iowa-caucus-primary-desantis-2024-bias-indictment-6cb3750a?mod=hp_opin_pos_1""><img alt=""By Barton Swaim"" class=""style--hedcut-image--2drhW-7p"" src=""https://s.wsj.net/public/resources/images/B3-BD357_swaim__AM_20180717120844.jpg""/></a>",0
72,"<a class=""style--link--1DquuyN1"" href=""https://www.wsj.com/articles/trump-summons-the-furies-in-iowa-caucus-primary-desantis-2024-bias-indictment-6cb3750a?mod=hp_opin_pos_1"">Trump Summons the Furies in Iowa</a>",0
73,"<a class=""style--link--1DquuyN1"" href=""https://www.wsj.com/articles/garrett-illerbrunn-army-pilot-injured-erbil-iraq-8f295dff?mod=hp_opin_pos_2""> ‘Shrapnel Struck Garrett in the Head’</a>",0
74,"<a href=""https://www.wsj.com/articles/merit-is-no-longer-evil-8df27d4e?mod=hp_opin_pos_3""><img alt=""By James Freeman"" class=""style--hedcut-image--2drhW-7p"" src=""https://s.wsj.net/public/resources/images/B3-BG857_freema_AM_20180731103058.jpg""/></a>",0
75,"<a class=""style--link--1DquuyN1"" href=""https://www.wsj.com/articles/merit-is-no-longer-evil-8df27d4e?mod=hp_opin_pos_3""> ‘Merit Is No Longer Evil’</a>",0
76,"<a class=""style--link--1DquuyN1"" href=""https://www.wsj.com/articles/george-sheetz-v-county-of-el-dorado-property-rights-fifth-amendment-69ebc4c9?mod=hp_opin_pos_4""> The Supreme Court’s Road to El Dorado</a>",0
77,"<a class=""style--link--1DquuyN1"" href=""https://www.wsj.com/articles/connecticut-hits-a-speed-bump-on-the-race-to-mandate-evs-california-04d2df1e?mod=hp_opin_pos_5""> Connecticut Hits a ‘Speed Bump’ on the Race to Mandate EVs</a>",0
78,"<a class=""style--link--1DquuyN1"" href=""https://www.wsj.com/articles/new-york-city-crime-police-neighborhood-safety-teams-eric-adams-a1746390?mod=hp_opin_pos_6""> Crime Takes a Dip in New York</a>",0
79,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--story-padding--1gRL3tuf WSJTheme--media-margin-bottom--1bIRFuDR"" data-id=""WP-WSJ-0001443758""><a aria-label=""New Year’s Resolutions Take on a Whole New Meaning in Retirement"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/lifestyle/new-year-resolution-retirement-e4a21446?mod=hp_lista_pos1"" tabindex=""0""><img alt=""New Year’s Resolutions Take on a Whole New Meaning in Retirement"" class=""WSJTheme--image--At42misj"" height=""405"" src=""https://images.wsj.net/im-907925?width=607&amp;height=405"" srcset=""https://images.wsj.net/im-907925?width=607&amp;height=405, https://images.wsj.net/im-907925?width=607&amp;height=405&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-907925?width=607&amp;height=405&amp;pixel_ratio=2 2x, https://images.wsj.net/im-907925?width=607&amp;height=405&amp;pixel_ratio=3 3x"" title=""New Year’s Resolutions Take on a Whole New Meaning in Retirement"" width=""607""/></a> <span class="""" href="""">Retirement Rookies</span><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-2--3gmjtDFS typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/lifestyle/new-year-resolution-retirement-e4a21446?mod=hp_lista_pos1""><span class=""WSJTheme--headlineText--He1ANr9C"">New Year’s Resolutions Take on a Whole New Meaning in Retirement</span></a></h3><p class=""WSJTheme--summary--lmOXEsbN typography--sans-serif--1WZesAGA""><span class=""WSJTheme--summaryText--2LRaCWgJ"">When we were working, we knew what we needed to do. Now, we have to be a lot more proactive about our intentions.</span><span class=""WSJTheme--stats--2HBLhVc9""><a aria-label=""Join the Conversation: 20 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/lifestyle/new-year-resolution-retirement-e4a21446?mod=hp_lista_pos1#comments_sector""><span class="""">20</span></a><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">7 min read</span></span></span></p></article>",1
80,"<a aria-label=""New Year’s Resolutions Take on a Whole New Meaning in Retirement"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/lifestyle/new-year-resolution-retirement-e4a21446?mod=hp_lista_pos1"" tabindex=""0""><img alt=""New Year’s Resolutions Take on a Whole New Meaning in Retirement"" class=""WSJTheme--image--At42misj"" height=""405"" src=""https://images.wsj.net/im-907925?width=607&amp;height=405"" srcset=""https://images.wsj.net/im-907925?width=607&amp;height=405, https://images.wsj.net/im-907925?width=607&amp;height=405&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-907925?width=607&amp;height=405&amp;pixel_ratio=2 2x, https://images.wsj.net/im-907925?width=607&amp;height=405&amp;pixel_ratio=3 3x"" title=""New Year’s Resolutions Take on a Whole New Meaning in Retirement"" width=""607""/></a>",0
81,"<a class="""" href=""https://www.wsj.com/lifestyle/new-year-resolution-retirement-e4a21446?mod=hp_lista_pos1""><span class=""WSJTheme--headlineText--He1ANr9C"">New Year’s Resolutions Take on a Whole New Meaning in Retirement</span></a>",2
82,"<a aria-label=""Join the Conversation: 20 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/lifestyle/new-year-resolution-retirement-e4a21446?mod=hp_lista_pos1#comments_sector""><span class="""">20</span></a>",0
83,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--story-padding--1gRL3tuf"" data-id=""WP-WSJ-0001472962""><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-3--2z_phq5h typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/politics/policy/battered-congress-has-two-weeks-to-fix-three-big-problems-dad89e24?mod=hp_lista_pos2""><span class=""WSJTheme--headlineText--He1ANr9C"">Battered Congress Has Two Weeks to Fix Three Big Problems</span></a></h3><p class=""WSJTheme--summary--lmOXEsbN typography--sans-serif--1WZesAGA""><span class=""WSJTheme--summaryText--2LRaCWgJ"">Democratic and Republican lawmakers have a tight deadline to craft a deal and avoid a partial government shutdown, as last year’s deferred work on the border, foreign aid and the federal budget converges.</span><span class=""WSJTheme--stats--2HBLhVc9""><a aria-label=""Join the Conversation: 534 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/politics/policy/battered-congress-has-two-weeks-to-fix-three-big-problems-dad89e24?mod=hp_lista_pos2#comments_sector""><span class="""">534</span></a><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">7 min read</span></span></span></p></article>",1
84,"<a class="""" href=""https://www.wsj.com/politics/policy/battered-congress-has-two-weeks-to-fix-three-big-problems-dad89e24?mod=hp_lista_pos2""><span class=""WSJTheme--headlineText--He1ANr9C"">Battered Congress Has Two Weeks to Fix Three Big Problems</span></a>",2
85,"<a aria-label=""Join the Conversation: 534 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/politics/policy/battered-congress-has-two-weeks-to-fix-three-big-problems-dad89e24?mod=hp_lista_pos2#comments_sector""><span class="""">534</span></a>",0
86,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--story-padding--1gRL3tuf"" data-id=""WP-WSJ-0001470171""><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-3--2z_phq5h typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/finance/regulation/the-crypto-industry-holds-its-breath-in-anticipation-of-the-first-spot-bitcoin-etfs-fed067ec?mod=hp_lista_pos3""><span class=""WSJTheme--headlineText--He1ANr9C"">Crypto Industry Holds Breath in Anticipation of First Spot Bitcoin ETFs</span></a></h3><p class=""WSJTheme--summary--lmOXEsbN typography--sans-serif--1WZesAGA""><span class=""WSJTheme--summaryText--2LRaCWgJ"">The SEC is facing a Wednesday deadline to approve or reject the first funds to hold the cryptocurrency.</span><span class=""WSJTheme--stats--2HBLhVc9""><a aria-label=""Join the Conversation: 39 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/finance/regulation/the-crypto-industry-holds-its-breath-in-anticipation-of-the-first-spot-bitcoin-etfs-fed067ec?mod=hp_lista_pos3#comments_sector""><span class="""">39</span></a><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">4 min read</span></span></span></p></article>",1
87,"<a class="""" href=""https://www.wsj.com/finance/regulation/the-crypto-industry-holds-its-breath-in-anticipation-of-the-first-spot-bitcoin-etfs-fed067ec?mod=hp_lista_pos3""><span class=""WSJTheme--headlineText--He1ANr9C"">Crypto Industry Holds Breath in Anticipation of First Spot Bitcoin ETFs</span></a>",2
88,"<a aria-label=""Join the Conversation: 39 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/finance/regulation/the-crypto-industry-holds-its-breath-in-anticipation-of-the-first-spot-bitcoin-etfs-fed067ec?mod=hp_lista_pos3#comments_sector""><span class="""">39</span></a>",0
89,"<a class=""style--strap--ND8Cuaip style--align-left--3iZ8c-pm"" href=""https://www.wsj.com/lifestyle?mod=lead_feature_below_a_strap""><h2 class=""style--label--13MlcFOP typography--sans-serif-narrow--tQEgavy2 style--size-small--1mrJTuBn style--icon-position-right--Sm9pTJ3p style--padding-top-12--3XU8PlhY style--padding-bottom-12--393Wqqzy""><span class="""">Life Math</span><span class=""style--icon--1WxxxS-r style--icon-link--3nS95BKp style--icon-position-right--Sm9pTJ3p""></span></h2></a>",0
90,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--story-padding--1gRL3tuf WSJTheme--media-margin-bottom--1bIRFuDR WSJTheme--border-bottom--s4hYCt0s"" data-id=""WP-WSJ-0001459063""><a aria-label=""The Science-Backed Schedule for Your Perfect Weekend"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/health/wellness/best-weekend-life-hacks-science-0fcf415c?mod=lead_feature_below_a_pos1"" tabindex=""0""><img alt=""The Science-Backed Schedule for Your Perfect Weekend"" class=""WSJTheme--image--At42misj"" height=""191"" src=""https://images.wsj.net/im-906501?width=287&amp;height=191"" srcset=""https://images.wsj.net/im-906501?width=287&amp;height=191, https://images.wsj.net/im-906501?width=287&amp;height=191&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-906501?width=287&amp;height=191&amp;pixel_ratio=2 2x, https://images.wsj.net/im-906501?width=287&amp;height=191&amp;pixel_ratio=3 3x"" title=""The Science-Backed Schedule for Your Perfect Weekend"" width=""287""/></a><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-3--2z_phq5h typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/health/wellness/best-weekend-life-hacks-science-0fcf415c?mod=lead_feature_below_a_pos1""><span class=""WSJTheme--headlineText--He1ANr9C"">The Science-Backed Schedule for Your Perfect Weekend</span></a></h3><p class=""WSJTheme--summary--lmOXEsbN typography--sans-serif--1WZesAGA""><span class=""WSJTheme--summaryText--2LRaCWgJ"">Allocate your time into these six categories to build your best days off.</span><span class=""WSJTheme--stats--2HBLhVc9""><a aria-label=""Join the Conversation: 81 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/health/wellness/best-weekend-life-hacks-science-0fcf415c?mod=lead_feature_below_a_pos1#comments_sector""><span class="""">81</span></a><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">7 min read</span></span></span></p></article>",1
91,"<a aria-label=""The Science-Backed Schedule for Your Perfect Weekend"" class=""WSJTheme--lazyload--1zvjCdOV WSJTheme--lazyload-v2--BovHtDic"" href=""https://www.wsj.com/health/wellness/best-weekend-life-hacks-science-0fcf415c?mod=lead_feature_below_a_pos1"" tabindex=""0""><img alt=""The Science-Backed Schedule for Your Perfect Weekend"" class=""WSJTheme--image--At42misj"" height=""191"" src=""https://images.wsj.net/im-906501?width=287&amp;height=191"" srcset=""https://images.wsj.net/im-906501?width=287&amp;height=191, https://images.wsj.net/im-906501?width=287&amp;height=191&amp;pixel_ratio=1.5 1.5x, https://images.wsj.net/im-906501?width=287&amp;height=191&amp;pixel_ratio=2 2x, https://images.wsj.net/im-906501?width=287&amp;height=191&amp;pixel_ratio=3 3x"" title=""The Science-Backed Schedule for Your Perfect Weekend"" width=""287""/></a>",0
92,"<a class="""" href=""https://www.wsj.com/health/wellness/best-weekend-life-hacks-science-0fcf415c?mod=lead_feature_below_a_pos1""><span class=""WSJTheme--headlineText--He1ANr9C"">The Science-Backed Schedule for Your Perfect Weekend</span></a>",2
93,"<a aria-label=""Join the Conversation: 81 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/health/wellness/best-weekend-life-hacks-science-0fcf415c?mod=lead_feature_below_a_pos1#comments_sector""><span class="""">81</span></a>",0
94,"<article class=""WSJTheme--story--XB4V2mLz WSJTheme--story-padding--1gRL3tuf"" data-id=""WP-WSJ-0001450333""><h3 class=""WSJTheme--headline--unZqjb45 undefined WSJTheme--heading-3--2z_phq5h typography--serif-display--ZXeuhS5E""><a class="""" href=""https://www.wsj.com/health/wellness/whats-the-best-time-to-eat-dinner-heres-the-math-0df644ca?mod=lead_feature_below_a_pos1""><span class=""WSJTheme--headlineText--He1ANr9C"">What’s the Best Time to Eat Dinner? Here’s the Math</span></a></h3><p class=""WSJTheme--summary--lmOXEsbN typography--sans-serif--1WZesAGA""><span class=""WSJTheme--summaryText--2LRaCWgJ"">This is how to calculate the best hour for dinner for your health, sleep and family time.</span><span class=""WSJTheme--stats--2HBLhVc9""><a aria-label=""Join the Conversation: 173 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/health/wellness/whats-the-best-time-to-eat-dinner-heres-the-math-0df644ca?mod=lead_feature_below_a_pos1#comments_sector""><span class="""">173</span></a><span class=""WSJTheme--time-to-read--1uVnDiZs""><span class=""WSJTheme--mins-to-read--3baxNBNG"">5 min read</span></span></span></p></article>",1
95,"<a class="""" href=""https://www.wsj.com/health/wellness/whats-the-best-time-to-eat-dinner-heres-the-math-0df644ca?mod=lead_feature_below_a_pos1""><span class=""WSJTheme--headlineText--He1ANr9C"">What’s the Best Time to Eat Dinner? Here’s the Math</span></a>",2
96,"<a aria-label=""Join the Conversation: 173 responses"" class=""WSJTheme--comment-count--2eSQQ2yt WSJTheme--in-summary--3atLpjTg"" href=""https://www.wsj.com/health/wellness/whats-the-best-time-to-eat-dinner-heres-the-math-0df644ca?mod=lead_feature_below_a_pos1#comments_sector""><span class="""">173</span></a>",0
